id,category,question,expected_answer,source
SF-01,Troubleshooting,My toaster lever immediately springs back up instead of staying down. What is the likely cause and what should I inspect?,"The provided toaster guide attributes this to poor contact between the permanent and electromagnetic magnets, potentially caused by bread crumbs or a loose/misaligned part. The model should recommend unplugging the toaster before internal inspection and avoid inventing a different fault.","A_toaster_does_not_remain_in_the_""pushed_down""_state_220544(1).md"
SF-02,Troubleshooting,My toaster lever is stuck or damaged after crumbs accumulated inside. What basic maintenance should I perform before deeper repair?,"Unplug and cool the toaster, remove and clean the crumb trays, inspect/clean crumbs from the spring and lever pole, and check that the lever pole and spring are securely connected and slide smoothly.",Cuisinart_CPT-180_Toaster_Lever_Repair_216356(1).md
SF-03,Repair Procedure,How do I replace a broken lever on a T-fal Avante T24-B toaster?,"The guide removes the front snap-on buttons, seven bottom Torx T3 screws, three rear Torx T3 screws, the casing and its two wires, then removes the broken lever and snaps the replacement into place.",How_to_Replace_T-fal_Avante_T24-B_Toaster_Lever_158338.md
SF-04,Repair Procedure,What screwdriver and pliers are used in the Finelife NV-023172 toaster teardown?,A #2 Phillips screwdriver and small needle-nose pliers.,Finelife_NV-023172_2_Slice_Toaster_Teardown_32777(1).md
SF-05,Retrieval,Which components are listed as being on the Finelife toaster control board?,"Rectifier, frequency divider, stop button, simple NPN switch, and electromagnet on the back.",Finelife_NV-023172_2_Slice_Toaster_Teardown_32777(1).md
SF-06,Conceptual Troubleshooting,How does the electromagnet and latch mechanism keep a toaster lever down?,"The control circuit energizes the electromagnet; it holds a ferromagnetic piece, while the latch mechanism includes an arm that closes the power switch and a spring that launches the toast. When the electromagnet is de-energized, the lever is released and the spring pops the toast up.",Cuisinart_4-Slice_Tandem_Toaster_Teardown_23007(1).md
SF-07,Repair Procedure,"How is a piezo buzzer replaced in the toaster guide, and is soldering required?","Loosen the screws without removing them, carefully separate the bottom from the case, pull the piezo buzzer off the circuit board, and use a Phillips screwdriver and fine pincers. The guide states that soldering is not necessary.",Appliance_piezo_buzzers_Replacement_143090(1).md
SF-08,Troubleshooting,A hand-held blender overheats and the motor appears worn out. What parts and tools does the repair guide identify for motor replacement?,"The guide identifies a new motor, 2 mm Phillips and Tri-head screwdrivers, and a soldering iron. It describes opening the casing, removing the motor, disconnecting it from the blade-drive plastic part, and desoldering its PCB wires.",Hand-Held_Blender_Motor_Replacement_78999(1).md
SF-09,Repair Procedure,What are the main disassembly steps to reach the motor in the hand-held blender?,"Remove the blade attachment, remove the 2 mm Tri-point screw, remove the 2 mm Phillips screw joining casing sections, open the middle/bottom casing with force or spudgers, then lift out the motor.",Hand-Held_Blender_Motor_Replacement_78999(1).md
SF-10,Troubleshooting,"A Bosch Ergomixx blender has stopped working and its thermal fuse is blown. What does the guide identify, and what replacement characteristic does it suggest?","The guide identifies the small white component marked Y51 H 120C as the blown thermal fuse and suggests replacing it with a component having the same characteristics, probably a 120°C fusing temperature and 5 A maximum current.",Ergomixx_Blender_(Bosch)_disassembly_35395(1).md
